case,iyear,imonth,iday,country_txt,city,latitude,longitude,attacktype1_txt,nkill,nwound,level
30118,2014,7,15,Afghanistan,Khost,33.333056,69.916944,Bombing/Explosion,48.0,6.0,31.199999999999996
30251,2014,7,17,Ukraine,Hrabove,48.139156,38.639335,Bombing/Explosion,298.0,0.0,178.79999999999998
30534,2014,7,22,Iraq,Baghdad,33.381125,44.345039,Bombing/Explosion,34.0,52.0,41.2
30642,2014,7,24,Iraq,Taji,33.535741,44.239685,Bombing/Explosion,60.0,15.0,42.0
30720,2014,7,26,Syria,Atimah,36.307945,36.687732,Bombing/Explosion,40.0,60.0,48.0
30955,2014,7,30,Iraq,Baghdad,33.389934,44.460652,Bombing/Explosion,15.0,28.0,20.200000000000003
31264,2014,8,6,Iraq,Baghdad,33.38989,44.46081,Bombing/Explosion,16.0,34.0,23.200000000000003
31271,2014,8,6,Syria,Damascus,33.503056,36.258333,Bombing/Explosion,16.0,79.0,41.2
31468,2014,8,11,Iraq,Jalula,34.273644,45.165584,Bombing/Explosion,11.0,80.0,38.6
31510,2014,8,12,Iraq,Baghdad,33.298749,44.4229,Bombing/Explosion,10.0,43.0,23.2
31674,2014,8,15,Syria,Namar,33.02759,36.029526,Bombing/Explosion,14.0,30.0,20.4
31885,2014,8,21,Iraq,Baghdad,33.387489,44.411016,Bombing/Explosion,9.0,38.0,20.6
31978,2014,8,22,Iraq,Imam Weis,33.650227,44.64407,Bombing/Explosion,35.0,35.0,35.0
32005,2014,8,23,Syria,Unknown,35.958808,38.999399,Bombing/Explosion,14.0,150.0,68.4
32288,2014,8,30,Afghanistan,Jalalabad,34.434232,70.44754,Bombing/Explosion,12.0,45.0,25.2
32462,2014,9,4,Afghanistan,Ghazni,33.54989,68.416974,Bombing/Explosion,13.0,116.66,54.464
32498,2014,9,4,Afghanistan,Ghazni,33.54989,68.416711,Bombing/Explosion,13.0,116.67,54.468
32499,2014,9,4,Afghanistan,Ghazni,33.54989,68.416711,Bombing/Explosion,13.0,116.67,54.468
32611,2014,9,8,Iraq,Dhuluiya,34.055475,44.221293,Bombing/Explosion,17.0,170.0,78.2
32699,2014,9,10,Iraq,Baghdad,33.30533,44.488947,Bombing/Explosion,14.0,35.0,22.4
33011,2014,9,17,Nigeria,Kano,12.001128,8.517191,Bombing/Explosion,17.0,34.0,23.8
33299,2014,9,23,Iraq,Baghdad,33.389861,44.460039,Bombing/Explosion,14.0,67.0,35.2
33511,2014,9,28,Yemen,Majzar,15.8275,44.793889,Bombing/Explosion,16.0,51.0,30.0
33610,2014,9,29,Ukraine,Donetsk,48.069965,37.742388,Bombing/Explosion,18.0,30.0,22.799999999999997
33645,2014,10,2,Libya,Benghazi,32.116049,20.071231,Bombing/Explosion,9.0,52.0,26.2
33673,2014,10,1,Iraq,Baghdad,33.325,44.422,Bombing/Explosion,12.0,40.0,23.2
33716,2014,10,2,Iraq,Hit,33.634102,42.831047,Bombing/Explosion,34.0,12.0,25.2
33898,2014,10,7,Iraq,Baghdad,33.321899,44.486568,Bombing/Explosion,13.0,31.0,20.2
33991,2014,10,9,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,46.0,150.0,87.6
34093,2014,10,11,Iraq,Baghdad,33.370243,44.278691,Bombing/Explosion,18.0,28.0,22.0
34101,2014,10,11,Libya,Kikla,32.066463,12.694044,Bombing/Explosion,21.0,43.0,29.799999999999997
34213,2014,10,14,Iraq,Baghdad,33.381146,44.34494,Bombing/Explosion,26.0,51.0,36.0
34397,2014,10,17,Iraq,Mosul,36.340581,43.140452,Bombing/Explosion,20.0,30.0,24.0
34448,2014,10,19,Iraq,Baghdad,33.305117,44.37337,Bombing/Explosion,17.0,28.0,21.4
34512,2014,10,21,Iraq,Baghdad,33.387476,44.411096,Bombing/Explosion,7.0,40.0,20.2
34562,2014,10,22,Iraq,Baghdad,33.389806,44.460674,Bombing/Explosion,9.0,37.0,20.2
34643,2014,10,24,Egypt,Karm al-Qawadis,30.886219,34.076081,Bombing/Explosion,34.0,28.0,31.6
34769,2014,10,27,Iraq,Jurf al-Sakhar,32.866677,44.213887,Bombing/Explosion,22.0,24.0,22.8
34978,2014,11,1,Iraq,Baghdad,33.251389,44.391944,Bombing/Explosion,21.0,53.0,33.800000000000004
35013,2014,11,2,Pakistan,Wagah,31.590166,74.575894,Bombing/Explosion,62.0,110.0,81.19999999999999
35101,2014,11,3,Nigeria,Potiskum,11.707258,11.081768,Bombing/Explosion,31.0,119.0,66.2
35361,2014,11,10,Nigeria,Potiskum,11.707258,11.081768,Bombing/Explosion,48.0,79.0,60.4
35624,2014,11,16,Nigeria,Azare,11.674167,10.191111,Bombing/Explosion,11.0,60.0,30.6
35871,2014,11,23,Afghanistan,Yahya Khel district,32.937172,68.647247,Bombing/Explosion,58.0,66.0,61.2
35955,2014,11,25,Nigeria,Maiduguri,11.833333,13.15,Bombing/Explosion,65.0,98.0,78.2
36031,2014,11,27,Nigeria,Marabar-Mubi,10.34782,13.325363,Bombing/Explosion,40.0,7.0,26.8
36075,2014,11,28,Nigeria,Kano,12.0,8.516667,Bombing/Explosion,122.0,270.0,181.2
37029,2014,12,24,Iraq,Madain,33.099945,44.583278,Bombing/Explosion,45.0,62.0,51.8
37204,2014,12,29,Iraq,Taji,33.538393,44.259514,Bombing/Explosion,22.0,63.0,38.400000000000006
37282,2014,12,31,Yemen,Ibb,13.967151,44.165426,Bombing/Explosion,50.0,70.0,58.0
37387,2015,1,2,Iraq,Fallujah,33.349906,43.783288,Bombing/Explosion,20.0,30.0,24.0
37559,2015,1,6,Iraq,Jubah,33.907614,42.543028,Bombing/Explosion,25.0,21.0,23.4
37578,2015,1,7,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,38.0,66.0,49.2
37736,2015,1,10,Lebanon,Tripoli,34.443955,35.854032,Bombing/Explosion,11.0,36.0,21.0
38158,2015,1,18,Nigeria,Potiskum,11.709427,11.096525,Bombing/Explosion,5.0,48.0,22.200000000000003
38176,2015,1,19,Ukraine,Donetsk,48.068967,37.743035,Bombing/Explosion,11.0,57.0,29.4
38386,2015,1,23,Philippines,Zamboanga City,6.928028,122.094939,Bombing/Explosion,2.0,52.0,22.0
38450,2015,1,24,Ukraine,Mariupol,47.096943,37.549251,Bombing/Explosion,30.0,95.0,56.0
38691,2015,1,29,Egypt,Arish,31.132112,33.803321,Bombing/Explosion,25.0,58.0,38.2
38699,2015,1,29,Afghanistan,Mihtarlam,34.674256,70.211068,Bombing/Explosion,17.0,39.0,25.8
38743,2015,1,30,Pakistan,Shikarpur district,27.956944,68.637778,Bombing/Explosion,62.0,46.0,55.599999999999994
38755,2015,1,29,Cameroon,Fotokol,12.377705,14.22506,Bombing/Explosion,126.0,12.0,80.39999999999999
38834,2015,1,31,Iraq,Fallujah,33.349906,43.783288,Bombing/Explosion,5.0,44.0,20.6
38893,2015,2,1,Ukraine,Debaltseve,48.334617,38.401809,Bombing/Explosion,20.0,53.0,33.2
39160,2015,2,7,Iraq,Baghdad,33.304969,44.489036,Bombing/Explosion,31.0,66.0,45.0
39239,2015,2,9,Iraq,Baghdad,33.381183,44.34494,Bombing/Explosion,19.0,42.0,28.200000000000003
39379,2015,2,11,Ukraine,Debaltseve,48.333257,38.400034,Bombing/Explosion,19.0,78.0,42.6
39477,2015,2,13,Pakistan,Hayatabad,33.993364,71.437996,Bombing/Explosion,24.0,50.0,34.4
39808,2015,2,20,Somalia,Mogadishu,2.032623,45.340469,Bombing/Explosion,34.0,58.0,43.6
40123,2015,2,28,Iraq,Balad Ruz district,33.699554,45.083422,Bombing/Explosion,11.0,42.0,23.4
40687,2015,3,15,Pakistan,Lahore,31.410962,74.363412,Bombing/Explosion,11.0,35.0,20.6
40711,2015,3,15,Iraq,Ramadi,33.416667,43.3,Bombing/Explosion,4.0,51.0,22.8
40802,2015,3,18,Afghanistan,Lashkar Gah,31.583044,64.369167,Bombing/Explosion,8.0,41.0,21.200000000000003
40869,2015,3,20,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,39.0,87.0,58.2
40870,2015,3,20,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,39.0,87.0,58.2
40871,2015,3,20,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,40.0,88.0,59.2
40872,2015,3,20,Yemen,Sanaa,15.355873,44.213536,Bombing/Explosion,40.0,88.0,59.2
40879,2015,3,20,Syria,Hasakah,36.518134,40.7488,Bombing/Explosion,25.0,89.0,50.6
40880,2015,3,20,Syria,Hasakah,36.518134,40.7488,Bombing/Explosion,25.0,88.0,50.2
41366,2015,4,2,Afghanistan,Khost,33.337033,69.918544,Bombing/Explosion,21.0,64.0,38.2
41514,2015,4,5,Nigeria,Kwajaffa,10.484913,12.380308,Bombing/Explosion,25.0,30.0,27.0
41612,2015,4,8,Yemen,Aden,12.789572,45.006995,Bombing/Explosion,11.0,35.0,20.6
41613,2015,4,8,Yemen,Aden,12.775278,45.041111,Bombing/Explosion,11.0,35.0,20.6
41722,2015,4,12,Egypt,Arish,31.131088,33.802708,Bombing/Explosion,7.0,44.0,21.8
41985,2015,4,18,Afghanistan,Jalalabad,34.429836,70.447395,Bombing/Explosion,34.0,100.0,60.4
42010,2015,4,18,South Sudan,Juba,4.846851,31.581367,Bombing/Explosion,10.0,40.0,22.0
42768,2015,5,6,Yemen,Aden,12.787191,44.983678,Bombing/Explosion,86.0,67.0,78.4
42867,2015,5,9,Iraq,Khalis,33.843044,44.521936,Bombing/Explosion,36.0,14.0,27.2
43026,2015,5,13,Yemen,Taizz,13.578889,44.021944,Bombing/Explosion,9.0,40.0,21.4
43169,2015,5,16,Iraq,Fallujah,33.35,43.783333,Bombing/Explosion,37.0,20.0,30.2
43389,2015,5,22,Saudi Arabia,Qatif,26.569727,49.985409,Bombing/Explosion,23.0,100.0,53.8
43525,2015,5,25,Afghanistan,Qalat,32.106111,66.906944,Bombing/Explosion,5.0,73.0,32.2
43549,2015,5,25,Yemen,Masabah,13.574698,44.010392,Bombing/Explosion,13.0,60.0,31.8
43751,2015,5,30,Nigeria,Maiduguri,11.830475,13.159667,Bombing/Explosion,27.0,28.0,27.4
43845,2015,6,1,Iraq,Tharthar,33.678926,43.465862,Bombing/Explosion,39.0,25.0,33.4
43880,2015,6,2,Nigeria,Maiduguri,11.831098,13.150967,Bombing/Explosion,51.0,25.0,40.599999999999994
43959,2015,6,4,Nigeria,Yola,9.203496,12.49539,Bombing/Explosion,47.0,40.0,44.2
43991,2015,6,5,Turkey,Diyarbakir,37.924973,40.210983,Bombing/Explosion,2.0,50.0,21.2
43992,2015,6,5,Turkey,Diyarbakir,37.924973,40.210983,Bombing/Explosion,2.0,51.0,21.6
44007,2015,6,6,Iraq,Balad Ruz district,33.695694,45.067169,Bombing/Explosion,15.0,37.0,23.8
44116,2015,6,8,Pakistan,Datta Khel,33.150724,70.43233,Bombing/Explosion,27.0,14.0,21.8
44304,2015,6,13,Iraq,Karma,33.404852,43.918597,Bombing/Explosion,22.0,25.0,23.2
44360,2015,6,15,Chad,N'Djamena,12.089724,15.06776,Bombing/Explosion,19.0,51.0,31.800000000000004
44361,2015,6,15,Chad,N'Djamena,12.112509,15.033817,Bombing/Explosion,18.0,50.0,30.799999999999997
44666,2015,6,22,Nigeria,Maiduguri,11.831098,13.150967,Bombing/Explosion,22.0,50.0,33.2
44771,2015,6,25,Yemen,Aden,12.802001,45.034551,Bombing/Explosion,7.0,94.0,41.800000000000004
44773,2015,6,25,Syria,Kobani,36.899389,38.349653,Bombing/Explosion,174.0,201.0,184.8
44776,2015,6,25,Iraq,Fallujah,33.35,43.783333,Bombing/Explosion,20.0,30.0,24.0
44791,2015,6,26,Kuwait,Kuwait,29.374481,47.980266,Bombing/Explosion,28.0,227.0,107.60000000000001
44922,2015,6,29,Yemen,Sanaa,15.352917,44.204576,Bombing/Explosion,28.0,20.0,24.8
44951,2015,6,30,Afghanistan,Lashkar Gah,31.599043,64.375836,Bombing/Explosion,4.0,51.0,22.8
45002,2015,7,1,Yemen,Aden,12.856511,44.988342,Bombing/Explosion,31.0,101.0,59.0
45102,2015,7,3,Nigeria,Zabarmari,11.831098,13.150967,Bombing/Explosion,13.0,101.0,48.2
45185,2015,7,4,Yemen,Aden,12.856864,44.988563,Bombing/Explosion,35.0,24.0,30.6
45195,2015,7,5,Iraq,Hadithah,34.207171,42.354827,Bombing/Explosion,33.0,16.0,26.200000000000003
45199,2015,7,5,Nigeria,Jos,9.933333,8.883333,Bombing/Explosion,25.0,34.0,28.6
45281,2015,7,7,Nigeria,Zaria,11.066584,7.699986,Bombing/Explosion,26.0,32.0,28.4
45440,2015,7,11,Yemen,Ad Dabab district,13.555278,43.962778,Bombing/Explosion,7.0,54.0,25.8
45447,2015,7,11,Chad,N'Djamena,12.113056,15.049167,Bombing/Explosion,16.0,80.0,41.6
45499,2015,7,12,Iraq,Gavara,36.322392,41.860499,Bombing/Explosion,41.0,40.0,40.599999999999994
45512,2015,7,12,Afghanistan,Khost,33.339017,69.959119,Bombing/Explosion,34.0,23.0,29.6
45624,2015,7,15,Yemen,Taizz,13.578889,44.021944,Bombing/Explosion,11.0,50.0,26.6
45676,2015,7,16,Nigeria,Gombe,10.279142,11.173062,Bombing/Explosion,25.0,16.0,21.4
45677,2015,7,16,Nigeria,Gombe,10.279142,11.173062,Bombing/Explosion,25.0,15.0,21.0
45733,2015,7,17,Iraq,Bani Saad,33.571857,44.544569,Bombing/Explosion,121.0,130.0,124.6
45752,2015,7,19,Yemen,Shaykh Uthman,12.894405,44.98601,Bombing/Explosion,43.0,120.0,73.8
45779,2015,7,20,Turkey,Suruc,36.97512,38.424287,Bombing/Explosion,34.0,101.0,60.800000000000004
45841,2015,7,21,Syria,Kafrayah,35.990637,36.677702,Bombing/Explosion,3.0,100.0,41.8
45842,2015,7,21,Syria,Fuah,35.982007,36.705582,Bombing/Explosion,4.0,100.0,42.4
45860,2015,7,21,Iraq,Fallujah,33.365916,43.770322,Bombing/Explosion,18.0,34.0,24.4
45882,2015,7,22,Afghanistan,Almar district,35.8464,64.5333,Bombing/Explosion,20.0,30.0,24.0
45898,2015,7,22,Iraq,Baghdad,33.429154,44.398701,Bombing/Explosion,16.0,32.0,22.4
45899,2015,7,22,Iraq,Baghdad,33.269957,44.345763,Bombing/Explosion,18.0,48.0,30.0
45901,2015,7,22,Iraq,Karma,33.402381,43.911811,Bombing/Explosion,24.0,24.0,24.0
45938,2015,7,23,Iraq,Fallujah,33.366513,43.779827,Bombing/Explosion,57.0,53.0,55.4
45939,2015,7,23,Iraq,Fallujah,33.354051,43.845054,Bombing/Explosion,58.0,53.0,56.0
45991,2015,7,25,Cameroon,Maroua,10.592529,14.321009,Bombing/Explosion,22.0,67.0,40.0
46033,2015,7,26,Somalia,Mogadishu,2.022389,45.304763,Bombing/Explosion,18.0,41.0,27.200000000000003
46062,2015,7,26,Nigeria,Damaturu,11.747224,11.966177,Bombing/Explosion,20.0,47.0,30.8
46085,2015,7,27,Yemen,Al-Anad,13.210556,44.785,Bombing/Explosion,11.0,35.0,20.6
46508,2015,8,7,Afghanistan,Kabul,34.527578,69.174886,Bombing/Explosion,16.0,400.0,169.6
46509,2015,8,7,Afghanistan,Kabul,34.526942,69.100806,Bombing/Explosion,26.0,25.0,25.6
46555,2015,8,8,Afghanistan,Bandar-i-Shurab,36.681449,69.114905,Bombing/Explosion,23.0,19.0,21.4
46616,2015,8,10,Iraq,Huwaydir,33.770833,44.625556,Bombing/Explosion,52.0,80.0,63.2
46642,2015,8,10,Ukraine,Starohnativka,47.539638,37.776423,Bombing/Explosion,143.0,30.0,97.8
46684,2015,8,11,Nigeria,Sabon Gari,10.592003,12.207662,Bombing/Explosion,48.0,52.0,49.599999999999994
46755,2015,8,13,Iraq,Baghdad,33.376592,44.42526,Bombing/Explosion,68.0,152.0,101.6
46915,2015,8,17,Thailand,Bangkok,13.74444,100.54056,Bombing/Explosion,20.0,123.0,61.2
46985,2015,8,19,Yemen,Taizz,13.573888,44.019927,Bombing/Explosion,11.0,36.0,21.0
47019,2015,8,19,Syria,Harasta,33.558338,36.36606,Bombing/Explosion,30.0,20.0,26.0
47101,2015,8,22,Afghanistan,Kabul,34.527738,69.205217,Bombing/Explosion,13.0,61.0,32.2
47103,2015,8,22,Somalia,Kismayo,-0.355837,42.54777,Bombing/Explosion,27.0,30.0,28.2
47585,2015,9,2,Yemen,Sanaa,15.371778,44.197184,Bombing/Explosion,17.0,46.0,28.6
47586,2015,9,2,Yemen,Sanaa,15.371778,44.197184,Bombing/Explosion,16.0,46.0,28.0
47617,2015,9,3,Cameroon,Kerawa,11.184199,13.914285,Bombing/Explosion,22.0,72.0,42.0
47618,2015,9,3,Cameroon,Kerawa,11.184199,13.914285,Bombing/Explosion,22.0,71.0,41.6
47645,2015,9,4,Nigeria,Kirawa,11.185278,13.884167,Bombing/Explosion,48.0,101.0,69.2
47656,2015,9,4,Yemen,Safer,15.566652,45.787139,Bombing/Explosion,50.0,70.0,58.0
47778,2015,9,9,Syria,Unknown,35.28798,40.308863,Bombing/Explosion,54.0,50.0,52.4
47992,2015,9,13,Pakistan,Multan,30.174344,71.508834,Bombing/Explosion,11.0,59.0,30.200000000000003
48051,2015,9,14,Syria,Hasakah,36.503919,40.746153,Bombing/Explosion,14.0,35.0,22.4
48073,2015,9,14,Syria,Hasakah,36.507867,40.746267,Bombing/Explosion,14.0,35.0,22.4
48192,2015,9,18,Pakistan,Badaber,33.957536,71.573933,Bombing/Explosion,42.0,22.0,34.0
48292,2015,9,20,Nigeria,Maiduguri,11.831976,13.151388,Bombing/Explosion,19.0,30.0,23.4
48293,2015,9,20,Nigeria,Maiduguri,11.831976,13.151388,Bombing/Explosion,18.0,30.0,22.799999999999997
48294,2015,9,20,Nigeria,Monguno,12.672892,13.615985,Bombing/Explosion,28.0,62.0,41.6
48295,2015,9,20,Nigeria,Maiduguri,11.831976,13.151388,Bombing/Explosion,19.0,30.0,23.4
48328,2015,9,21,Iraq,Baghdad,33.314006,44.506622,Bombing/Explosion,11.0,39.0,22.200000000000003
48426,2015,9,24,Yemen,Sanaa,15.369445,44.191007,Bombing/Explosion,16.0,46.0,28.0
48427,2015,9,24,Yemen,Sanaa,15.367245,44.185074,Bombing/Explosion,16.0,46.0,28.0
48670,2015,10,3,Iraq,Baghdad,33.362183,44.334987,Bombing/Explosion,12.0,37.0,22.0
48780,2015,10,4,South Sudan,Unknown,8.927721,29.788925,Bombing/Explosion,52.0,42.0,48.0
48785,2015,10,5,Iraq,Khalis,33.843044,44.521936,Bombing/Explosion,41.0,58.0,47.8
48865,2015,10,7,Nigeria,Goniri,11.48354,12.317756,Bombing/Explosion,108.0,9.0,68.39999999999999
48921,2015,10,8,Syria,Haritan,36.286835,37.083084,Bombing/Explosion,21.0,24.0,22.200000000000003
48987,2015,10,10,Turkey,Ankara,39.933369,32.845471,Bombing/Explosion,105.0,245.0,161.0
48995,2015,10,10,Chad,Baga Sola,13.533583,14.317183,Bombing/Explosion,17.0,42.0,27.0
49079,2015,10,12,Afghanistan,Ghazni,33.545979,68.416328,Bombing/Explosion,100.0,51.0,80.4
49507,2015,10,23,Libya,Benghazi,32.116462,20.066807,Bombing/Explosion,12.0,39.0,22.8
49508,2015,10,23,Pakistan,Jacobabad,28.282935,68.436488,Bombing/Explosion,28.0,19.0,24.400000000000002
49528,2015,10,23,Nigeria,Yola,9.203496,12.49539,Bombing/Explosion,28.0,96.0,55.2
49551,2015,10,24,Bangladesh,Dhaka,23.81018,90.412296,Bombing/Explosion,2.0,101.0,41.60000000000001
49605,2015,10,25,Iraq,Ramadi,33.416757,43.301382,Bombing/Explosion,16.0,27.0,20.4
49783,2015,10,29,Iraq,Baghdad,33.298123,44.243224,Bombing/Explosion,23.0,24.0,23.4
49847,2015,10,31,Egypt,Unknown,30.169854,34.173178,Bombing/Explosion,224.0,0.0,134.4
49905,2015,11,1,Somalia,Mogadishu,2.031406,45.309401,Bombing/Explosion,21.0,24.0,22.200000000000003
50309,2015,11,12,Lebanon,Beirut,33.843471,35.498738,Bombing/Explosion,24.0,119.0,62.0
50310,2015,11,12,Lebanon,Beirut,33.843471,35.498738,Bombing/Explosion,23.0,119.0,61.4
50356,2015,11,13,Iraq,Baghdad,33.277992,44.328386,Bombing/Explosion,14.0,36.0,22.8
50498,2015,11,16,Iraq,Kasik,36.47099,42.670123,Bombing/Explosion,15.0,30.0,21.0
50513,2015,11,17,Pakistan,Abi Gum,29.808836,67.398632,Bombing/Explosion,16.0,150.0,69.6
50527,2015,11,17,Nigeria,Jambutu,9.284822,12.423722,Bombing/Explosion,33.0,80.0,51.8
50576,2015,11,18,Nigeria,Kano,12.002179,8.591956,Bombing/Explosion,9.0,62.0,30.2
50577,2015,11,18,Nigeria,Kano,12.002179,8.591956,Bombing/Explosion,8.0,61.0,29.200000000000003
50927,2015,11,27,Nigeria,Dakasoye,12.002179,8.591956,Bombing/Explosion,22.0,38.0,28.4
51206,2015,12,5,Chad,Koulfoua,13.003044,14.738038,Bombing/Explosion,7.0,44.0,21.8
51207,2015,12,5,Chad,Koulfoua,13.003044,14.738038,Bombing/Explosion,6.0,43.0,20.799999999999997
51208,2015,12,5,Chad,Koulfoua,13.003044,14.738038,Bombing/Explosion,6.0,43.0,20.799999999999997
51422,2015,12,12,Syria,Homs,34.733526,36.733118,Bombing/Explosion,11.0,35.0,20.6
51423,2015,12,12,Syria,Homs,34.733661,36.732997,Bombing/Explosion,12.0,35.0,21.2
51440,2015,12,13,Pakistan,Parachinar,33.905705,70.100966,Bombing/Explosion,22.0,70.0,41.2
51972,2015,12,27,Nigeria,Maiduguri,11.831098,13.150967,Bombing/Explosion,21.0,50.0,32.6
52011,2015,12,28,Syria,Homs,34.733661,36.732997,Bombing/Explosion,16.0,45.0,27.6
52012,2015,12,28,Syria,Homs,34.733661,36.732997,Bombing/Explosion,17.0,45.0,28.2
52017,2015,12,28,Nigeria,Madagali,10.891605,13.627317,Bombing/Explosion,30.0,16.0,24.4
52018,2015,12,28,Nigeria,Maiduguri,11.831098,13.150967,Bombing/Explosion,30.0,65.0,44.0
52038,2015,12,29,Pakistan,Mardan,34.200114,72.050801,Bombing/Explosion,27.0,51.0,36.6
